author;author_type;link;city;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price_per_m2;price_per_month;commissions;year_of_construction;living_meters;kitchen_meters;phone;district;street;underground
Лиедел Инвестментс Лимитед;official_representative;https://www.cian.ru/rent/flat/282861728/;Москва;rent;flat;44;75;2;68.0;3529;240000;0;2013;-1;-1;+79164053418;Пресненский;1-й Красногвардейский проезд;Деловой центр
ID 18835544;official_representative;https://www.cian.ru/rent/flat/285274355/;Москва;rent;flat;5;12;2;171.0;7017;1200000;0;2015;-1;-1;+79645650253;Тверской;Охотный Ряд;Охотный ряд
ID 18835544;official_representative;https://www.cian.ru/rent/flat/277258564/;Москва;rent;flat;10;12;2;88.0;9090;800000;0;2015;-1;-1;+79645655164;Тверской;Охотный Ряд;Охотный ряд
ID 18835544;official_representative;https://www.cian.ru/rent/flat/274012767/;Москва;rent;flat;10;12;3;121.0;7024;850000;0;2015;-1;-1;+79645655164;Тверской;Охотный Ряд;Охотный ряд
ID 365013;homeowner;https://www.cian.ru/rent/flat/284994453/;Москва;rent;flat;8;12;3;135.0;1407;190000;0;2003;97.0;10.0;+79629423130;Тверской;2-й Щемиловский переулок;Новослободская
Лиедел Инвестментс Лимитед;official_representative;https://www.cian.ru/rent/flat/282541298/;Москва;rent;flat;54;75;2;88.0;3295;290000;0;2013;-1;-1;+79164053418;Пресненский;1-й Красногвардейский проезд;Деловой центр
Лиедел Инвестментс Лимитед;official_representative;https://www.cian.ru/rent/flat/282862720/;Москва;rent;flat;42;75;2;98.0;3469;340000;0;2013;-1;-1;+79164053418;Пресненский;1-й Красногвардейский проезд;Деловой центр
Лиедел Инвестментс Лимитед;official_representative;https://www.cian.ru/rent/flat/282862481/;Москва;rent;flat;52;75;2;101.0;3168;320000;0;2013;-1;-1;+79164053418;Пресненский;1-й Красногвардейский проезд;Деловой центр
Лиедел Инвестментс Лимитед;official_representative;https://www.cian.ru/rent/flat/282862261/;Москва;rent;flat;52;75;2;100.0;3300;330000;0;2013;-1;-1;+79164053418;Пресненский;1-й Красногвардейский проезд;Деловой центр
ID 15139550;homeowner;https://www.cian.ru/rent/flat/280027763/;Москва;rent;flat;3;9;2;39.0;1025;40000;0;1964;22.8;7.4;+74954760059;Зюзино;Перекопская;Зюзино
Trust Realty;real_estate_agent;https://www.cian.ru/rent/flat/284260617/;Москва;rent;flat;2;8;3;118.0;1949;230000;0;1898;-1;-1;+79164328968;Красносельский;Милютинский переулок;Лубянка
ID 100303104;homeowner;https://www.cian.ru/rent/flat/284204154/;Москва;rent;flat;19;23;2;48.0;1562;75000;0;2018;-1;-1;+79852248766;Лефортово;Красноказарменная;Авиамоторная
Лиедел Инвестментс Лимитед;official_representative;https://www.cian.ru/rent/flat/282862046/;Москва;rent;flat;56;75;2;90.0;3666;330000;0;2013;-1;-1;+79164053418;Пресненский;1-й Красногвардейский проезд;Деловой центр
Excellent real estate;real_estate_agent;https://www.cian.ru/rent/flat/284632881/;Москва;rent;flat;20;51;3;80.0;1875;150000;15;2020;60.0;10.0;+79660559497;Раменки;Мичуринский проспект;Раменки
Voller.one;real_estate_agent;https://www.cian.ru/rent/flat/284177892/;Москва;rent;flat;2;5;3;187.0;1657;310000;0;1892;-1;-1;+79099988318;Басманный;Мясницкая;Тургеневская
Аврора Проперти;real_estate_agent;https://www.cian.ru/rent/flat/274930830/;Москва;rent;flat;5;5;3;71.8;4178;300000;0;1876;-1;8.0;+79652530061;Тверской;Петровка;Трубная
Apple Real Estate;real_estate_agent;https://www.cian.ru/rent/flat/284402317/;Москва;rent;flat;4;4;3;85.0;2941;250000;0;1917;60.0;6.0;+79856202910;Басманный;Малый Златоустинский переулок;Китай-город
Apple Real Estate;real_estate_agent;https://www.cian.ru/rent/flat/274712626/;Москва;rent;flat;8;57;3;220.0;1227;270000;0;2006;108.0;24.0;+79197654832;Хорошевский;Чапаевский переулок;Сокол
ID 45054846;homeowner;https://www.cian.ru/rent/flat/285370997/;Москва;rent;flat;1;5;2;43.0;976;42000;0;1964;30.0;6.0;+79856936624;Гольяново;Уральская;Щёлковская
АЛЬФА;real_estate_agent;https://www.cian.ru/rent/flat/285031410/;Москва;rent;flat;16;57;2;60.0;1483;89000;33;2022;-1;-1;+79165532011;Хорошево-Мневники;Народного Ополчения;Народное Ополчение
ЦАН;real_estate_agent;https://www.cian.ru/rent/flat/284953673/;Москва;rent;flat;16;57;2;53.0;1698;90000;35;2022;35.0;10.0;+79651095293;Хорошево-Мневники;Народного Ополчения;Народное Ополчение
ID 68211549;homeowner;https://www.cian.ru/rent/flat/274454022/;Москва;rent;flat;9;12;2;52.5;1047;55000;0;1991;-1;-1;+79852598639;Отрадное;Римского-Корсакова;Отрадное
Apple Real Estate;real_estate_agent;https://www.cian.ru/rent/flat/277468354/;Москва;rent;flat;4;7;3;180.0;5555;1000000;0;1905;87.0;15.0;+79850610514;Арбат;Гоголевский бульвар;Арбатская
Trust Realty;real_estate_agent;https://www.cian.ru/rent/flat/282729683/;Москва;rent;flat;7;7;3;120.0;2083;250000;0;2014;80.0;20.0;+79164328968;Хамовники;Комсомольский проспект;Спортивная
Trust Realty;real_estate_agent;https://www.cian.ru/rent/flat/282838579/;Москва;rent;flat;6;7;3;140.0;2357;330000;0;2014;85.0;25.0;+79164328968;Хамовники;Комсомольский проспект;Спортивная
Выбор;real_estate_agent;https://www.cian.ru/rent/flat/285066927/;Москва;rent;flat;31;37;3;75.0;1200;90000;50;2010;37.0;15.0;+79165728397;Хорошевский;Хорошевское шоссе;Беговая
ID 13953288;homeowner;https://www.cian.ru/rent/flat/284979586/;Москва;rent;flat;18;33;3;80.0;2062;165000;0;2018;-1;-1;+79859295864;Обручевский;Ленинский проспект;Новаторская
Apple Real Estate;real_estate_agent;https://www.cian.ru/rent/flat/279879165/;Москва;rent;flat;7;7;3;120.0;2083;250000;0;2014;80.0;20.0;+79854415251;Хамовники;Комсомольский проспект;Спортивная
Apple Real Estate;real_estate_agent;https://www.cian.ru/rent/flat/273958667/;Москва;rent;flat;6;7;3;140.0;2357;330000;0;2014;85.0;25.0;+79854415251;Хамовники;Комсомольский проспект;Спортивная
Whitewill Аренда;real_estate_agent;https://www.cian.ru/rent/flat/279148388/;Москва;rent;flat;4;9;3;180.0;5555;1000000;0;1905;87.0;15.0;+79099986857;Арбат;Гоголевский бульвар;Арбатская
Apple Real Estate;real_estate_agent;https://www.cian.ru/rent/flat/283876113/;Москва;rent;flat;2;8;3;120.0;1916;230000;0;1898;73.0;14.0;+79197654832;Красносельский;Милютинский переулок;Лубянка
Apple Real Estate;real_estate_agent;https://www.cian.ru/rent/flat/282395776/;Москва;rent;flat;21;21;3;130.0;2307;300000;0;2008;-1;18.0;+79850610514;Пресненский;Большой Тишинский переулок;Белорусская
SHOW ME;real_estate_agent;https://www.cian.ru/rent/flat/226584449/;Москва;rent;flat;5;24;2;60.0;2333;140000;0;1967;-1;-1;+79651075373;Арбат;Новый Арбат;Арбатская
BARNES International Realty;real_estate_agent;https://www.cian.ru/rent/flat/282636224/;Москва;rent;flat;3;13;3;100.0;1400;140000;0;1983;54.0;14.0;+79152370991;Пресненский;Большая Грузинская;Белорусская
ID 86735903;unknown;https://www.cian.ru/rent/flat/284526796/;Москва;rent;flat;6;9;3;58.9;933;55000;0;1967;45.0;7.0;+79660592672;Северное Тушино;Туристская;Планерная
BARNES International Realty;real_estate_agent;https://www.cian.ru/rent/flat/281915387/;Москва;rent;flat;5;8;3;102.0;1460;149000;0;1910;-1;-1;+79162049118;Арбат;Арбат;Смоленская
BARNES International Realty;real_estate_agent;https://www.cian.ru/rent/flat/280413065/;Москва;rent;flat;7;40;3;110.0;1363;150000;0;2012;60.0;23.0;+79162049118;Обручевский;Профсоюзная;Новые Черёмушки
BARNES International Realty;real_estate_agent;https://www.cian.ru/rent/flat/280406436/;Москва;rent;flat;4;24;2;85.0;1058;90000;0;2007;42.0;15.0;+79162049118;Пресненский;Шмитовский проезд;Тестовская
ID 38335271;realtor;https://www.cian.ru/rent/flat/284658602/;Москва;rent;flat;2;19;2;57.0;1140;65000;0;2022;34.0;15.0;+79104262754;Чертаново Южное;Варшавское шоссе;Лесопарковая
ID 47207960;realtor;https://www.cian.ru/rent/flat/276353566/;Москва;rent;flat;11;14;2;58.0;1896;110000;0;2012;-1;-1;+79857752467;Замоскворечье;Мытная;Серпуховская
BARNES International Realty;real_estate_agent;https://www.cian.ru/rent/flat/282870294/;Москва;rent;flat;21;21;3;130.0;2307;300000;0;2008;67.0;18.0;+79162049118;Пресненский;Большой Тишинский переулок;Белорусская
Apple Real Estate;real_estate_agent;https://www.cian.ru/rent/flat/282632022/;Москва;rent;flat;2;9;3;160.0;1687;270000;0;2009;70.0;18.0;+79858735371;Басманный;Казарменный переулок;Курская
BARNES International Realty;real_estate_agent;https://www.cian.ru/rent/flat/277281224/;Москва;rent;flat;31;78;2;58.0;3620;210000;0;2020;34.0;10.0;+79162049118;Пресненский;1-й Красногвардейский проезд;Тестовская
Whitewill Аренда;real_estate_agent;https://www.cian.ru/rent/flat/284616267/;Москва;rent;flat;2;9;3;160.0;1562;250000;0;2009;115.0;10.0;+79660610922;Басманный;Казарменный переулок;Курская
ID 54536441;realtor;https://www.cian.ru/rent/flat/285486723/;Москва;rent;flat;17;17;2;85.0;941;80000;0;2002;35.0;26.0;+79663807608;Пресненский;Шелепихинское шоссе;Шелепиха
ID 297539;realtor;https://www.cian.ru/rent/flat/285486118/;Москва;rent;flat;17;17;3;85.0;941;80000;0;2002;55.0;12.0;+79654020248;Пресненский;Шелепихинское шоссе;Шелепиха
ID 44480409;real_estate_agent;https://www.cian.ru/rent/flat/285494430/;Москва;rent;flat;5;23;3;65.0;1384;89990;50;2020;-1;-1;+79660514595;Гольяново;Амурская;Черкизовская
NF Group - ex-Knight Frank Russia;real_estate_agent;https://www.cian.ru/rent/flat/284759262/;Москва;rent;flat;13;13;3;130.0;4230;550000;0;2019;-1;10.0;+79670243947;Хамовники;Усачева;Спортивная
BARNES International Realty;real_estate_agent;https://www.cian.ru/rent/flat/284617809/;Москва;rent;flat;2;12;2;76.0;1710;130000;0;2019;-1;-1;+79152370991;Аэропорт;Ленинградский проспект;Динамо
Intermark Real Estate;real_estate_agent;https://www.cian.ru/rent/flat/283927831/;Москва;rent;flat;2;5;3;187.0;1657;310000;0;1892;120.0;17.0;+79660514387;Басманный;Мясницкая;Тургеневская
ID 74385977;realtor;https://www.cian.ru/rent/flat/284107146/;Москва;rent;flat;3;5;2;59.7;1373;82000;60;1956;31.6;8.8;+79660533149;Савеловский;1-я Хуторская;Гражданская
ДОМ.РФ Аренда;real_estate_agent;https://www.cian.ru/rent/flat/283429754/;Москва;rent;flat;19;28;3;62.7;2205;138300;0;2019;33.7;4.0;+79152317466;Филевский парк;Василисы Кожиной;Багратионовская
АЛЬФА;real_estate_agent;https://www.cian.ru/rent/flat/285032437/;Москва;rent;flat;15;36;3;65.0;1230;80000;30;2019;-1;-1;+79165532011;Пресненский;Мукомольный проезд;Шелепиха
Apple Real Estate;real_estate_agent;https://www.cian.ru/rent/flat/281549674/;Москва;rent;flat;11;15;3;130.0;1384;180000;0;2003;61.0;10.0;+79652359079;Тверской;4-я Тверская-Ямская;Маяковская
ДОМ.РФ Аренда;real_estate_agent;https://www.cian.ru/rent/flat/284782710/;Москва;rent;flat;28;28;3;87.3;2645;230990;0;2019;60.1;8.0;+79152317466;Филевский парк;Василисы Кожиной;Багратионовская
BARNES International Realty;real_estate_agent;https://www.cian.ru/rent/flat/278865947/;Москва;rent;flat;6;44;3;119.0;1008;120000;0;2003;60.0;12.0;+79152370991;Фили-Давыдково;Давыдковская;Славянский бульвар
